verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	hist_uri	disk_only_syms
REFACTORED	24	15	16764	47151	CaseCrack/tools/burp_enterprise/tool_registry/registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\4050eaaa\TJ0D.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_registry/registry.py	ToolDefinition.availability|ToolDefinition.is_available|ToolRegistry.__contains__|ToolRegistry.available_for_capability|ToolRegistry.available_tools
REFACTORED	45	8	27311	45570	CaseCrack/tools/burp_enterprise/tool_registry/output_parsers.py	C:\Users\ya754\AppData\Roaming\Code\User\History\43fdc151\mtTp.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_registry/output_parsers.py	NaabuParser.parse|OutputParser._severity_norm|ParsedFinding.is_valid|ParserRegistry.invalid_count|ParserRegistry.names
REFACTORED	21	9	13445	44077	CaseCrack/tools/burp_enterprise/exploit_chains/payload_synthesis_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-b3e0feb\90Xn.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/payload_synthesis_engine.py	PayloadSynthesisEngine._ensure_arbiter|PayloadSynthesisEngine._ensure_forge|PayloadSynthesisEngine._ensure_grammar|PayloadSynthesisEngine._ensure_llm|PayloadSynthesisEngine._ensure_scheduler
REFACTORED	4	8	35205	42913	CaseCrack/tests/test_fix134_waf_phase14_degraded.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7e21f311\zKmD.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tests/test_fix134_waf_phase14_degraded.py	TestFix134aCmdWafOutputFirst.test_detect_writes_output_with_envelope_keys|TestFix134bStructural|TestFix134bStructural.test_output_write_before_logging|TestFix134bStructural.test_scan_started_emit_in_try_block|TestFix134dWafw00fImportProtection.test_import_guard_exists_in_source
REFACTORED	15	11	22505	42242	CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_context.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-2b863a49\q1mG.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_context.py	ProbeResult.__post_init__|ProbeResult.to_dict|RankedPayload.__post_init__|ReflectionContext.__post_init__|ReflectionContextDetector.__init__
REFACTORED	15	34	34103	41514	CaseCrack/tools/burp_enterprise/recon_dashboard/target_scoring.py	C:\Users\ya754\AppData\Roaming\Code\User\History\225d8946\hFdr.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/target_scoring.py	CampaignBudget.allocate|CampaignBudget.consume|CampaignBudget.remaining|CampaignBudget.remaining_for|TargetScoringEngine
REFACTORED	23	39	26276	38922	CaseCrack/tests/test_cli_api_extended.py	C:\Users\ya754\AppData\Roaming\Code\User\History\60f9d9ac\DmH8.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tests/test_cli_api_extended.py	TestCmdApi._make_mod|TestCmdApi._run|TestCmdApi.test_hpp_missing_param|TestCmdApi.test_hpp_missing_value|TestCmdApi.test_hpp_ok
REFACTORED	27	11	26006	37297	CaseCrack/tools/burp_enterprise/exploit_chains/genetic_forge.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-67bb4266\FAiP.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/genetic_forge.py	ForgeChromosome.__post_init__|ForgeFitnessEvaluator._bypass_score|ForgeFitnessEvaluator._diversity_score|ForgeFitnessEvaluator._hypothesis_score|GeneticForge._initial_population
REFACTORED	15	4	26190	36297	CaseCrack/tools/burp_enterprise/synthesis_safety.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1bb50c2b\E2oc.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/synthesis_safety.py	_WS_RE|_fingerprint|_shingles|_similarity
REFACTORED	5	7	27677	30694	CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_tracer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-39ce9d25\QLmq.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_tracer.py	REQUIRED_FEEDBACK_TARGETS|SynthesisTracer._next_id|SynthesisTracer._parents_of|SynthesisTracer._record|WEIGHTS_SUM_TOLERANCE
REFACTORED	19	25	21814	30418	CaseCrack/tools/burp_enterprise/inference/engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-33dd2d26\B01d.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/engine.py	GenerationResult.__init__|GenerationResult.cost_usd|GenerationResult.latency_ms|GenerationResult.stop_reason|GenerationResult.tokens_generated
REFACTORED	15	7	9232	28690	CaseCrack/tools/burp_enterprise/inference/model_manager.py	C:\Users\ya754\AppData\Roaming\Code\User\History\859617b\VNIq.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/model_manager.py	ModelManager._default_catalog|ModelManager._parse_filename|ModelManager.scan|ModelManager.select|ModelSpec.__post_init__
REFACTORED	17	10	14808	27958	CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_feedback.py	C:\Users\ya754\AppData\Roaming\Code\User\History\734cf3e3\YU9x.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/synthesis_feedback.py	FeedbackEvent.is_neutral|SynthesisFeedbackCollector._propagate_to_campaign|SynthesisFeedbackCollector._propagate_to_forge|SynthesisFeedbackCollector._propagate_to_hypothesis|SynthesisFeedbackCollector._propagate_to_reasoning
REFACTORED	20	25	15619	27162	CaseCrack/tools/burp_enterprise/reasoning/hypothesis_manager.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5a03d5d7\1Lr9.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/reasoning/hypothesis_manager.py	DeduplicationStats.unique_count|Hypothesis|Hypothesis.fingerprint|HypothesisManager._enforce_cap|HypothesisManager._evict_stale
REFACTORED	16	14	11022	25239	CaseCrack/tools/burp_enterprise/database/data_migration.py	C:\Users\ya754\AppData\Roaming\Code\User\History\3ef0668f\GL6a.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/database/data_migration.py	MigrationEngine._common_columns|MigrationEngine._migrate_table|MigrationEngine._row_count|MigrationEngine._table_list|MigrationEngine.migrate
REFACTORED	13	2	14323	24525	CaseCrack/tools/burp_enterprise/inference/model_management/model_registry.py	C:\Users\ya754\AppData\Roaming\Code\User\History\13ff49c9\O4kx.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/model_management/model_registry.py	ModelRegistry.list_all|_cap
REFACTORED	23	31	15425	22889	CaseCrack/tools/burp_enterprise/reasoning/kv_checkpoint.py	C:\Users\ya754\AppData\Roaming\Code\User\History\f3d22b1\Zxfe.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/reasoning/kv_checkpoint.py	ChainCheckpointState.checkpoint_count|ChainCheckpointState.latest|Checkpoint.__post_init__|Checkpoint.from_dict|Checkpoint.verify
REFACTORED	3	5	10508	22365	CaseCrack/tools/burp_enterprise/exploit_chains/failure_pattern.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-19daba80\Bhje.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/failure_pattern.py	FailurePatternExtractor._evict_one|FailurePatternExtractor._filter|FailurePatternExtractor._refresh_counters|_EVENT_HANDLER_RE|_TEMPLATE_RE
REFACTORED	20	11	11548	22121	CaseCrack/tools/burp_enterprise/reasoning/context_budget.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-1f870cd4\uqDV.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/reasoning/context_budget.py	AdaptiveBudgetTuner|AdaptiveBudgetTuner.__init__|AdaptiveBudgetTuner.record|AdaptiveBudgetTuner.record_batch|AdaptiveBudgetTuner.stats
REFACTORED	6	1	11879	21405	CaseCrack/tools/burp_enterprise/inference/model_management/finetune_exporter.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-7275cefc\Kzu3.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/model_management/finetune_exporter.py	FinetuneExporter._serialize
REFACTORED	10	6	6938	21369	CaseCrack/tools/burp_enterprise/tool_registry/fallback.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-13234a1b\Ivr0.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_registry/fallback.py	FallbackSelector._is_healthy|FallbackSelector._rank_alternatives|FallbackSelector._score|FallbackSelector.record_outcome|FallbackSelector.set_registry
REFACTORED	16	10	10164	21199	CaseCrack/tools/burp_enterprise/memory/vector_index.py	C:\Users\ya754\AppData\Roaming\Code\User\History\648e0518\fb46.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/memory/vector_index.py	VectorMemoryIndex.__len__|VectorMemoryIndex._raw_search|VectorMemoryIndex.add_batch|VectorMemoryIndex.load|VectorMemoryIndex.save
REFACTORED	15	9	15709	21185	CaseCrack/tools/burp_enterprise/exploit_chains/llm_synthesizer.py	C:\Users\ya754\AppData\Roaming\Code\User\History\50fc2245\tgeL.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/llm_synthesizer.py	LLMSynthesizer._coerce_entry|LLMSynthesizer._rank|LLMSynthesizer.clear_cache|_DESTRUCTIVE_RE|_EXFIL_HOST_RE
REFACTORED	12	4	8777	19531	CaseCrack/tools/burp_enterprise/tool_registry/action_translator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\7c9ca0c4\Mt06.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_registry/action_translator.py	ActionTranslator._build_args|ActionTranslator._pick_tool|ActionTranslator.set_registry|ActionTranslator.translate_batch
REFACTORED	5	2	7671	19414	CaseCrack/tools/burp_enterprise/inference/model_management/vram_selector.py	C:\Users\ya754\AppData\Roaming\Code\User\History\37be9f7c\qeBh.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/model_management/vram_selector.py	VRAMModelSelector._score|VRAMModelSelector._task_capability
REFACTORED	4	3	11632	19145	CaseCrack/tools/burp_enterprise/inference/model_management/model_downloader.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-52893bef\7tSv.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/model_management/model_downloader.py	ModelDownloader._partial_path|ModelDownloader._path|ModelDownloader.download_url
REFACTORED	16	9	14026	19125	CaseCrack/tests/strict_fakes.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-40068db0\xQFh.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tests/strict_fakes.py	_Call|_FakeBypassArm|_FakeBypassArm.__repr__|_StrictBase|_StrictBase.__getattr__
REFACTORED	6	4	7956	18702	CaseCrack/tools/burp_enterprise/exploit_chains/execution_scheduler.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5217667\IxwG.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploit_chains/execution_scheduler.py	ExecutionScheduler._estimate_latency|ExecutionScheduler._interleave_stealth|ExecutionScheduler._primary_key|ExecutionScheduler._trim_by_budget
REFACTORED	15	7	7377	16688	CaseCrack/tools/burp_enterprise/inference/grammar.py	C:\Users\ya754\AppData\Roaming\Code\User\History\545ec0ab\3Mtt.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/grammar.py	GBNFGrammar.to_string|GBNFGrammar.validate|_SchemaWalker|_SchemaWalker.__init__|_SchemaWalker._emit
REFACTORED	3	9	10447	14468	CaseCrack/tools/burp_enterprise/inference/kv_cache.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-52f8b352\rVkn.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/inference/kv_cache.py	KVCacheManager._bytes_per_token|KVCacheManager._evict_one|KVCacheManager._seq_mb|KVCacheManager._used_mb|KVCacheManager.release
REFACTORED	2	10	10226	11771	CaseCrack/tools/burp_enterprise/memory/embedder.py	C:\Users\ya754\AppData\Roaming\Code\User\History\79be7d96\onO1.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/memory/embedder.py	VenatorEmbedder.clear_cache|VenatorEmbedder.embedding_dim|VenatorEmbedder.similarity|_TFIDFEmbedder|_TFIDFEmbedder.__init__
REFACTORED	6	1	5099	5981	CaseCrack/tests/test_recon_transport.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-21540a14\8YMk.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tests/test_recon_transport.py	TestInProcessTransport.test_default_execute
MINOR	0	1	27388	259235	CaseCrack/tools/burp_enterprise/recon_dashboard/report_generator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-29de5b81\qZKK.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/report_generator.py	ReconReportGenerator._detect_false_positives_and_gaps
MINOR	2	0	68474	77265	CaseCrack/tools/burp_enterprise/stealth_orchestrator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\768ce44c\XzuM.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/stealth_orchestrator.py	
MINOR	1	0	23393	75209	CaseCrack/tools/burp_enterprise/recon_dashboard/atlas_api.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5f0d7241\3msW.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/atlas_api.py	
MINOR	2	0	61227	72850	CaseCrack/tools/burp_enterprise/adaptive_chain_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\65624233\dHgJ.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/adaptive_chain_engine.py	
MINOR	2	2	4235	61039	CaseCrack/tools/burp_enterprise/_spa_shell.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-41d37f04\9ajd.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/_spa_shell.py	_HEAD_TPL|_STATIC_DIR
MINOR	0	0	42420	49913	CaseCrack/tools/burp_enterprise/recon_dashboard/report_filters.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-435cb2e9\KOwP.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/report_filters.py	
MINOR	1	0	29241	35894	CaseCrack/tools/burp_enterprise/atlas/atlas_nexus.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-233a72b\d4VR.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/atlas/atlas_nexus.py	
MINOR	2	1	30260	34349	CaseCrack/tools/burp_enterprise/output/reporter.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-58dd0153\TNaR.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/output/reporter.py	ReportConfig.to_dict
MINOR	1	0	26358	30271	CaseCrack/tools/burp_enterprise/exploitation/engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3d32f44b\7L9B.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/exploitation/engine.py	
MINOR	0	0	21401	26439	CaseCrack/tools/burp_enterprise/recon_dashboard/findings_store.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-51a8eae5\QiEZ.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/findings_store.py	
MINOR	1	0	16001	19587	CaseCrack/tools/burp_enterprise/tool_wrappers/uncover_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-4df21b08\BuMv.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_wrappers/uncover_provider.py	
MINOR	2	0	9257	18196	CaseCrack/tools/burp_enterprise/tool_wrappers/dalfox_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-6200fdec\yFSF.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_wrappers/dalfox_provider.py	
MINOR	0	0	15166	17201	CaseCrack/tools/burp_enterprise/atlas/patterns.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-5408bbb5\HTk4.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/atlas/patterns.py	
MINOR	2	0	7666	15317	CaseCrack/tools/burp_enterprise/platforms/generic.py	C:\Users\ya754\AppData\Roaming\Code\User\History\464f93d4\XWh3.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/platforms/generic.py	
MINOR	0	0	8270	10693	CaseCrack/tools/burp_enterprise/cli/_parsers/osint.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-668b80ae\br43.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/cli/_parsers/osint.py	
MINOR	0	0	9370	10543	CaseCrack/tests/test_osint_recon_comprehensive.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5a6e1c95\HqJ8.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tests/test_osint_recon_comprehensive.py	
MINOR	0	0	8334	9179	CaseCrack/tools/burp_enterprise/recon_dashboard/phase_handlers/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-706e7ccb\RLkn.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/phase_handlers/__init__.py	
MINOR	1	0	7268	8281	CaseCrack/tools/burp_enterprise/tool_wrappers/nuclei_provider.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-65c61b8\DieP.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/tool_wrappers/nuclei_provider.py	
MINOR	0	0	5847	6837	CaseCrack/tools/burp_enterprise/ai_ml/_scanner.py	C:\Users\ya754\AppData\Roaming\Code\User\History\bdc68fa\yOK2.py	file:///c:/Users/ya754/CaseCrack v1.0/CaseCrack/tools/burp_enterprise/ai_ml/_scanner.py	
